n_drones,trial,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance
4,16,True,0,90.04999999999703,48.40044346968912
4,17,True,0,90.04999999999703,32.60700851084683
4,18,True,0,90.04999999999703,31.321452986731174
4,19,True,0,90.04999999999703,132.54331958281585
4,20,True,0,90.04999999999703,32.92821418033516
4,21,True,0,90.04999999999703,31.88742906317559
4,22,True,0,90.04999999999703,20.870527674303194
4,23,True,0,90.04999999999703,24.742916301201276
4,24,False,0,19.150000000000137,10.267969418068562
4,25,True,0,90.04999999999703,34.17396802765299
4,26,True,0,90.04999999999703,49.57994299805145
4,27,True,0,90.04999999999703,41.9326462841084
4,28,True,0,90.04999999999703,33.722519460352586
4,29,True,0,90.04999999999703,21.561488519814684
4,30,True,0,90.04999999999703,17.54618716103738
4,31,True,0,90.04999999999703,38.91855997356412
4,32,True,0,90.04999999999703,33.6505887484011
4,33,True,0,90.04999999999703,31.018110053322935
4,34,True,0,90.04999999999703,161.6791554619274
4,35,True,0,90.04999999999703,215.50780145994793
4,36,True,0,90.04999999999703,46.96730702459847
4,37,True,0,90.04999999999703,31.6768428332036
4,38,True,0,90.04999999999703,157.1187953338836
4,39,True,0,90.04999999999703,53.53859102324448
4,40,True,0,90.04999999999703,50.22270743235425
4,41,True,0,90.04999999999703,92.08169359528131
4,42,True,0,90.04999999999703,35.18179706964238
4,43,True,0,90.04999999999703,31.14622463567774
4,44,True,0,90.04999999999703,22.357154317509128
4,45,True,0,90.04999999999703,95.64150876483497
4,46,True,0,90.04999999999703,161.31066451765724
4,47,False,0,18.800000000000132,7.311819011581757
4,48,True,0,90.04999999999703,101.15214573062396
4,49,True,0,90.04999999999703,111.95721946809064
4,50,True,0,90.04999999999703,135.61844517169402
4,51,True,0,90.04999999999703,27.895331623328985
4,52,True,0,90.04999999999703,55.960532006094745
4,53,True,0,90.04999999999703,115.12067652303696
4,54,True,0,90.04999999999703,108.02455191945612
4,55,True,0,90.04999999999703,32.74349925873039
4,56,True,0,90.04999999999703,78.35553388114363
4,57,False,0,18.800000000000132,2.204084546988232
4,58,True,0,90.04999999999703,79.918047234984
4,59,True,0,90.04999999999703,145.44246194246287
6,0,True,0,90.04999999999703,36.22779593959849
6,1,False,0,18.75000000000013,0.41062213152358734
6,2,True,0,90.04999999999703,43.01178607096283
6,3,True,0,90.04999999999703,28.86438184652601
6,4,True,0,90.04999999999703,268.92785738002976
